ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
1802,I code primarily as a hobby,"Not employed, but looking for work",United States of America,Massachusetts,NA,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Other (please specify):",7,NA,NA,NA,NA,NA,NA,Assembly;Bash/Shell;C;C++,Assembly;Bash/Shell;C;C++,NA,NA,NA,NA,NA,NA,NA,NA,Docker;Git,Docker;Git,Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games;Panic;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"No, not really",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's)",Appropriate in length,Easy,NA
1803,I am a developer by profession,Employed full-time,Czech Republic,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",16,10,"Developer, desktop or enterprise applications;Developer, back-end;Developer, embedded applications or devices","10,000 or more employees",CZK	Czech koruna,140000,Monthly,Bash/Shell;C#;F#;Go;PowerShell,Bash/Shell;C#;F#;Go;PowerShell,NA,NA,Google Cloud Platform;Microsoft Azure,Google Cloud Platform,NA,NA,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Chef;Docker;Git;Kubernetes;Terraform,Docker;Git;Kubernetes;Terraform,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,72744
1804,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Sweden,NA,NA,Some college/university study without earning a degree,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",NA,NA,"Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","Just me - I am a freelancer, sole proprietor, etc.",SEK	Swedish krona,NA,NA,Bash/Shell;C#;C++;F#;HTML/CSS;JavaScript;PowerShell;SQL,Bash/Shell;C#;C++;HTML/CSS;JavaScript;PowerShell;SQL,Cassandra;Elasticsearch;Microsoft SQL Server,Elasticsearch;Microsoft SQL Server;SQLite,NA,NA,ASP.NET Core ,ASP.NET Core ;jQuery,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Docker;Git,Docker;Git;Kubernetes;Xamarin,Notepad++;Visual Studio,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
1805,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Kansas,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,School;Other (please specify):,39,26,"Developer, back-end;Engineering manager",100 to 499 employees,USD	United States dollar,204700,Yearly,C#;HTML/CSS;JavaScript;SQL;TypeScript,C#;HTML/CSS;JavaScript;Python;SQL;TypeScript,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,Elasticsearch;Microsoft SQL Server;PostgreSQL;Redis,AWS,AWS;Microsoft Azure,Angular;Angular.js;ASP.NET;jQuery,Angular;ASP.NET;jQuery;Vue.js,.NET Framework,.NET Framework;.NET Core / .NET 5,Git,Docker;Git;Kubernetes;Puppet;Terraform;Xamarin,Atom;Notepad++;Sublime Text;Vim;Visual Studio;Visual Studio Code,Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,204700
1806,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",15,4,"Developer, embedded applications or devices",20 to 99 employees,EUR European Euro,42000,Yearly,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;SQL;VBA,Bash/Shell;C;C++;JavaScript;PHP;Python;Rust;TypeScript,MariaDB;MySQL;SQLite,MariaDB;MySQL;SQLite,NA,NA,Angular;Angular.js;Django;Laravel;Symfony;Vue.js,Angular;Angular.js;Django;Flask;React.js;Symfony;Vue.js,NumPy;Pandas;Qt;TensorFlow,NumPy;Pandas;Qt;TensorFlow,Docker;Git,Docker;Git;Kubernetes;Puppet,Atom;Vim;Visual Studio Code,Visual Studio Code,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,45401
1807,I am a developer by profession,Employed full-time,Sweden,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,12,Less than 1 year,"Developer, back-end;Designer","10,000 or more employees",SEK	Swedish krona,35000,Monthly,C#;C++;Matlab;Python,C;C++;Go;Python,NA,NA,NA,NA,NA,NA,NumPy;Pandas,Keras;NumPy,Git;Unity 3D,Git;Kubernetes,Atom;Eclipse;IPython/Jupyter;Visual Studio Code,Atom;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,42960
1808,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Czech Republic,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",16,4,"Developer, back-end;Student;Data or business analyst",10 to 19 employees,CZK	Czech koruna,NA,NA,C#;C++;Groovy;HTML/CSS;Java;JavaScript;Node.js;PHP;PowerShell;SQL;TypeScript,C#;C++;HTML/CSS;PHP,Microsoft SQL Server;MySQL;SQLite,NA,NA,NA,NA,NA,.NET Framework;.NET Core / .NET 5,.NET Framework,Git,Git,Eclipse;Visual Studio,Visual Studio,Windows,Visit Stack Overflow;Google it;Do other work and come back later;Meditate,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Prefer not to say,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
1809,"I am not primarily a developer, but I write code sometimes as part of my work",Employed part-time,Indonesia,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum",5,1,"Developer, desktop or enterprise applications;Other (please specify):;Developer, back-end;System administrator",10 to 19 employees,IDR	Indonesian rupiah,20000000,Monthly,HTML/CSS;JavaScript;PHP,C++;HTML/CSS;JavaScript;PHP,MariaDB,MariaDB,NA,NA,jQuery,jQuery,Qt,Qt,Git,NA,Vim,Vim,Linux-based,Visit Stack Overflow;Watch help / tutorial videos;Play games;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Southeast Asian,NA,I have a concentration and/or memory disorder (e.g. ADHD),Appropriate in length,Neither easy nor difficult,17568
1810,I am a developer by profession,Employed full-time,United States of America,Virginia,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,School,18,11,"Academic researcher;Student;Developer, embedded applications or devices",500 to 999 employees,USD	United States dollar,NA,Monthly,C;C++;Java;JavaScript,NA,MariaDB,NA,NA,NA,jQuery,NA,Qt,NA,Ansible;Docker;Git;Kubernetes,NA,Eclipse;Vim;Visual Studio;Visual Studio Code,NA,Linux-based,Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
1811,I am a developer by profession,Employed full-time,Pakistan,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Courses or Certification,5,Less than 1 year,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",PKR	Pakistani rupee,103000,Monthly,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Python,Bash/Shell;C;C++;Python,Firebase;MySQL;Oracle,Firebase,DigitalOcean;Microsoft Azure,AWS;Google Cloud Platform;Microsoft Azure,Flask;Gatsby;React.js,Flask;Gatsby;React.js,NumPy;Pandas,Hadoop;Keras;NumPy;Pandas;TensorFlow,Git,Docker;Git,IPython/Jupyter;Notepad++;Visual Studio Code,IPython/Jupyter;Vim;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,8016
1812,I code primarily as a hobby,Employed full-time,Brazil,NA,NA,"Associate degree (A.A., A.S., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",20,NA,"DevOps specialist;Designer;Engineer, site reliability;System administrator",NA,NA,NA,NA,C;C++;HTML/CSS;JavaScript;Perl;PHP;Python;SQL,C;C++;Go;HTML/CSS;JavaScript;Python;Rust;SQL,MariaDB;MySQL;PostgreSQL;SQLite,MariaDB;MySQL;PostgreSQL;SQLite,AWS;Google Cloud Platform;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,AWS;Google Cloud Platform;IBM Cloud or Watson;Oracle Cloud Infrastructure,Flask;jQuery,Angular;Angular.js;FastAPI;jQuery;Vue.js,NumPy;Pandas,NumPy;Pandas,Ansible;Git,Ansible;Git;Terraform,Vim;Visual Studio Code,Vim,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, definitely",Yes,45-54 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,NA,I have autism / an autism spectrum disorder (e.g. Asperger's),Too long,Easy,NA
1813,I am a developer by profession,Employed full-time,Turkey,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Colleague,8,6,"Developer, back-end",500 to 999 employees,TRY	Turkish lira,NA,NA,C#;Rust,C#;SQL,Microsoft SQL Server,Cassandra;Elasticsearch;Firebase;Microsoft SQL Server,Microsoft Azure,NA,ASP.NET,ASP.NET Core ,.NET Framework,.NET Framework;.NET Core / .NET 5,Git,Git,Visual Studio,Rider;Visual Studio,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,I don't know,Prefer not to say,None of the above,Appropriate in length,Neither easy nor difficult,NA
1814,"I used to be a developer by profession, but no longer am",Employed full-time,Germany,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Friend or family member,18,11,"Data scientist or machine learning specialist;Developer, back-end;DevOps specialist;Engineering manager;Engineer, site reliability;Senior Executive (C-Suite, VP, etc.)",NA,NA,NA,NA,C++;Go;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,C++;Go;Java;Python;TypeScript,Couchbase;Elasticsearch;PostgreSQL;Redis;SQLite,PostgreSQL;SQLite,AWS;Google Cloud Platform,AWS;Google Cloud Platform,Angular;Spring,Angular;Spring,Torch/PyTorch,NA,Ansible;Docker;Git;Kubernetes;Terraform,Ansible;Docker;Git;Kubernetes;Terraform,IntelliJ;Notepad++;PyCharm;Vim;Visual Studio Code,IntelliJ;Notepad++;PyCharm;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
1815,I am a developer by profession,Employed full-time,United States of America,Maryland,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Other (please specify):,20,13,"Developer, mobile;Developer, full-stack;Developer, game or graphics",I don’t know,USD	United States dollar,NA,NA,C#;HTML/CSS;JavaScript;Python;SQL,C;C#;C++;Groovy;HTML/CSS;JavaScript;Python;SQL,Microsoft SQL Server;SQLite,Microsoft SQL Server;SQLite,NA,NA,ASP.NET;ASP.NET Core ,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Unity 3D;Xamarin,Unity 3D;Xamarin,Visual Studio,Visual Studio,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,NA
1816,I am a developer by profession,Employed full-time,Belgium,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",18,5,"Developer, full-stack",100 to 499 employees,EUR European Euro,35000,Yearly,HTML/CSS;Java;JavaScript;SQL,HTML/CSS;Java;JavaScript;Node.js;Python;SQL,MongoDB;MySQL,Elasticsearch;MongoDB;MySQL;SQLite,NA,NA,React.js;Spring,Django;React.js;Spring;Vue.js,NA,NA,Docker;Flow;Git;Yarn,Docker;Flow;Git;Kubernetes;Yarn,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,37834
1817,"I used to be a developer by profession, but no longer am",Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,Some college/university study without earning a degree,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",9,5,"Developer, front-end;Developer, full-stack;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;Designer;System administrator;Marketing or sales professional",NA,NA,NA,NA,HTML/CSS;JavaScript;PHP;PowerShell;SQL;TypeScript;VBA,C#;Go;Java;Kotlin;Node.js;Ruby;SQL,MariaDB;Microsoft SQL Server;MySQL;Oracle;SQLite,Elasticsearch;PostgreSQL,AWS;Google Cloud Platform;Microsoft Azure,Heroku,jQuery,Angular;Angular.js;ASP.NET;ASP.NET Core ;Laravel;React.js;Ruby on Rails;Symfony;Vue.js,Flutter;TensorFlow,React Native,Docker;Git,Kubernetes,Sublime Text,Android Studio,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",Yes,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,NA
1818,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Coding Bootcamp;School;Online Courses or Certification;Colleague,NA,NA,DevOps specialist,20 to 99 employees,GBP	Pound sterling,NA,NA,Bash/Shell;C++;PowerShell;Python,Bash/Shell;Go;Python,NA,NA,AWS;Google Cloud Platform,AWS;Google Cloud Platform,NA,NA,Flutter;Pandas;TensorFlow,NA,Ansible;Docker;Kubernetes;Terraform,Ansible;Docker;Kubernetes;Terraform,Visual Studio Code,Visual Studio Code,MacOS,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Man,No,Straight / Heterosexual,NA,NA,NA,Appropriate in length,Neither easy nor difficult,NA
1819,I am a developer by profession,Employed full-time,France,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,5,1,"Developer, desktop or enterprise applications","10,000 or more employees",EUR European Euro,36000,Monthly,Bash/Shell;C;C++;HTML/CSS;Java;JavaScript;Node.js;Python;R;Scala;SQL;TypeScript,Elixir;Go;HTML/CSS;JavaScript;Node.js;Python;TypeScript,MongoDB;MySQL;Redis,MongoDB;PostgreSQL;Redis,Google Cloud Platform,NA,Angular;Express;Flask;React.js;Vue.js,Flask;Svelte;Vue.js,NA,NA,Docker;Git,Ansible;Docker;Git,IntelliJ;Sublime Text;Visual Studio;Visual Studio Code,IntelliJ;Sublime Text;Visual Studio Code,Linux-based,Go for a walk or other physical activity,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,466980
1820,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Indiana,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",1,1,"Developer, full-stack;Database administrator;System administrator","10,000 or more employees",USD	United States dollar,61500,Yearly,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Python;SQL,Assembly;Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js;Python;SQL,Firebase;Microsoft SQL Server,Firebase;Microsoft SQL Server;MongoDB;PostgreSQL,NA,NA,ASP.NET Core ;Django,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,NA,NA,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Android Studio;Notepad++;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,61500
1821,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",10,Less than 1 year,"Engineer, data;Data scientist or machine learning specialist;Developer, back-end",20 to 99 employees,GBP	Pound sterling,NA,NA,Bash/Shell;Python;SQL,Bash/Shell;C++;Go;Python,Oracle;PostgreSQL,PostgreSQL,Google Cloud Platform,Google Cloud Platform,FastAPI,FastAPI,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;TensorFlow,Docker;Git;Kubernetes;Terraform,Docker;Git;Kubernetes;Terraform,IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Vim,IPython/Jupyter;Notepad++;PyCharm;Sublime Text;Vim,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",No,NA,NA,NA,NA,NA,NA,NA,Appropriate in length,Easy,NA
1822,I am a developer by profession,Employed full-time,"Iran, Islamic Republic of...",NA,NA,Some college/university study without earning a degree,11 - 17 years,"Coding Bootcamp;Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification;Other (please specify):",5,2,"Developer, front-end;Designer",500 to 999 employees,IRR	Iranian rial,6000000,Monthly,Bash/Shell;C;C#;C++;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,C#;C++;Dart;HTML/CSS;JavaScript;Node.js;SQL;TypeScript,Firebase;Microsoft SQL Server;MySQL;SQLite,Microsoft SQL Server,NA,NA,Angular;ASP.NET;ASP.NET Core ;jQuery,Angular;ASP.NET;ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git;Xamarin,Git;Xamarin,Sublime Text;Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Visit another developer community (please name):;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Daily or almost daily,"Yes, somewhat",Yes,18-24 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,1716
1823,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,18,11,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Database administrator","1,000 to 4,999 employees",GBP	Pound sterling,50000,Yearly,C#;JavaScript;SQL;TypeScript,C#;JavaScript;SQL;TypeScript,Microsoft SQL Server,Microsoft SQL Server,NA,NA,ASP.NET Core ,ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Core / .NET 5,Git,Git,Visual Studio;Visual Studio Code,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),Daily or almost daily,Yes,Less than once per month or monthly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,64630
1824,I code primarily as a hobby,"Not employed, and not looking for work",Viet Nam,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",25 - 34 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",5,NA,NA,NA,NA,NA,NA,Bash/Shell;JavaScript;PHP;SQL,C;Go;Rust;SQL,MySQL;PostgreSQL,NA,NA,NA,Laravel,Laravel,NA,NA,Ansible;Docker,NA,Vim,NA,Linux-based,Visit Stack Overflow;Google it;Watch help / tutorial videos;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,25-34 years old,NA,No,Prefer not to say,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,NA
1825,I am a developer by profession,Employed full-time,Canada,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,11,5,"Developer, full-stack","10,000 or more employees",CAD	Canadian dollar,75000,Yearly,Bash/Shell;Java;SQL,Bash/Shell;Java;SQL,MariaDB;SQLite,MariaDB;SQLite,NA,NA,NA,NA,NA,NA,Docker;Git,Docker;Git,Eclipse;IntelliJ;Notepad++;Vim,Eclipse;IntelliJ;Notepad++;Vim,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,NA,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,56723
1826,I am a student who is learning to code,"Not employed, but looking for work",Austria,NA,NA,Some college/university study without earning a degree,11 - 17 years,School;Online Courses or Certification,1,NA,Student,NA,NA,NA,NA,HTML/CSS;JavaScript,HTML/CSS;Java;JavaScript;PHP;Rust;SQL,NA,NA,NA,NA,NA,NA,NA,NA,Git,Git,Sublime Text;Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder;I have autism / an autism spectrum disorder (e.g. Asperger's),Appropriate in length,Easy,NA
1827,I am a developer by profession,Employed full-time,Turkey,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Colleague,13,4,"Developer, back-end",2 to 9 employees,TRY	Turkish lira,13000,Monthly,C#;Python,Go;Python,Microsoft SQL Server;MySQL;Oracle;PostgreSQL;Redis,PostgreSQL;Redis,AWS;DigitalOcean,AWS,Angular.js;ASP.NET;Django,Django,NA,NA,Docker;Git;Kubernetes;Xamarin,Docker;Git,PyCharm;Visual Studio;Visual Studio Code,PyCharm;Visual Studio Code,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Play games,Stack Overflow,Multiple times per day,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Too short,Easy,25644
1828,I code primarily as a hobby,"Student, full-time",Canada,NA,NA,Primary/elementary school,5 - 10 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Online Courses or Certification",2,NA,NA,NA,NA,NA,NA,Bash/Shell;C++;HTML/CSS;JavaScript;Node.js;Python,Assembly;Bash/Shell;C;C++;HTML/CSS;JavaScript;Python;Rust;SQL,NA,NA,NA,NA,NA,NA,NumPy;Qt;Torch/PyTorch,NumPy,NA,NA,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,Neutral,No,Under 18 years old,Man,No,Straight / Heterosexual,Southeast Asian;South Asian,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,NA
